serial no,distance,latitude,longitude
6217.0,155400.0,21.458320147699165,91.14489240469231
6218.0,155425.0,21.458099106438546,91.1448432045629
6219.0,155450.0,21.457878065157622,91.14479400458185
6220.0,155475.0,21.457657023856402,91.14474480474911
6221.0,155500.0,21.457435982534875,91.14469560506473
6222.0,155525.0,21.457214941193044,91.1446464055287
6223.0,155550.0,21.456993899830913,91.14459720614099
6224.0,155575.0,21.456772858448474,91.14454800690163
6225.0,155600.0,21.456551817045735,91.14449880781063
6226.0,155625.0,21.456330775622693,91.14444960886794
6227.0,155650.0,21.45610973417935,91.14440041007356
6228.0,155675.0,21.455888692715703,91.14435121142753
6229.0,155700.0,21.45566765123176,91.14430201292987
6230.0,155725.0,21.455446609727517,91.14425281458051
6231.0,155750.0,21.455225568202966,91.14420361637946
6232.0,155775.0,21.45500452665812,91.1441544183267
6233.0,155800.0,21.454783485092964,91.14410522042232
6234.0,155825.0,21.454562443507516,91.14405602266623
6235.0,155850.0,21.454341401901765,91.14400682505845
6236.0,155875.0,21.454120360275724,91.14395762759898
6237.0,155900.0,21.45389931862937,91.14390843028781
6238.0,155925.0,21.453678276962723,91.143859233125
6239.0,155950.0,21.453457235275778,91.14381003611044
6240.0,155975.0,21.453236193568532,91.14376083924424
6241.0,156000.0,21.453015151840987,91.14371164252628
6242.0,156025.0,21.452794110093144,91.14366244595669
6243.0,156050.0,21.45257306832501,91.14361324953529
6244.0,156075.0,21.45235202653657,91.14356405326225
6245.0,156100.0,21.452130984727834,91.14351485713757
6246.0,156125.0,21.451909942898805,91.14346566116109
6247.0,156150.0,21.451688901049476,91.14341646533296
6248.0,156175.0,21.451467859179854,91.14336726965303
6249.0,156200.0,21.45124681728993,91.14331807412145
6250.0,156225.0,21.451025775379712,91.14326887873818
6251.0,156250.0,21.450804733449196,91.14321968350316
6252.0,156275.0,21.450583691498387,91.14317048841639
6253.0,156300.0,21.45036264952729,91.14312129347792
6254.0,156325.0,21.450141607535883,91.14307209868775
6255.0,156350.0,21.44992056552419,91.14302290404578
6256.0,156375.0,21.449699523492203,91.14297370955217
6257.0,156400.0,21.449478481439918,91.1429245152068
6258.0,156425.0,21.449257439367344,91.14287532100963
6259.0,156450.0,21.44903639727447,91.14282612696081
6260.0,156475.0,21.448815355161308,91.14277693306019
6261.0,156500.0,21.448594313027854,91.14272773930787
6262.0,156525.0,21.4483732708741,91.1426785457038
6263.0,156550.0,21.448152228700057,91.14262935224798
6264.0,156575.0,21.44793118650572,91.1425801589404
6265.0,156600.0,21.447710144291094,91.14253096578113
6266.0,156625.0,21.447489102056167,91.14248177277005
6267.0,156650.0,21.447268059800958,91.14243257990722
6268.0,156675.0,21.447047017525456,91.14238338719264
6269.0,156700.0,21.44682597522966,91.1423341946263
6270.0,156725.0,21.446604932913573,91.14228500220821
6271.0,156750.0,21.4463838905772,91.14223580993837
6272.0,156775.0,21.446162848220535,91.14218661781678
6273.0,156800.0,21.445941805843574,91.14213742584337
6274.0,156825.0,21.445720763446324,91.14208823401822
6275.0,156850.0,21.44549972102879,91.14203904234131
6276.0,156875.0,21.445278678590963,91.14198985081265
6277.0,156900.0,21.445057636132848,91.14194065943218
6278.0,156925.0,21.44483659365444,91.1418914681999
6279.0,156950.0,21.44461555115575,91.14184227711593
6280.0,156975.0,21.444394508636766,91.14179308618009
6281.0,157000.0,21.4441734660975,91.14174389539255
6282.0,157025.0,21.443952423537937,91.14169470475315
6283.0,157050.0,21.443731380958095,91.141645514262
6284.0,157075.0,21.443510338357957,91.14159632391909
6285.0,157100.0,21.443289295737536,91.14154713372432
6286.0,157125.0,21.44306825309683,91.14149794367785
6287.0,157150.0,21.442847210435836,91.14144875377951
6288.0,157175.0,21.44262616775456,91.14139956402937
6289.0,157200.0,21.44240512505299,91.14135037442747
6290.0,157225.0,21.442184082331135,91.14130118497377
6291.0,157250.0,21.441963039589,91.14125199566826
6292.0,157275.0,21.441741996826575,91.14120280651093
6293.0,157300.0,21.441520954043867,91.1411536175018
6294.0,157325.0,21.441299911240876,91.14110442864086
6295.0,157350.0,21.441078868417595,91.14105523992805
6296.0,157375.0,21.44085782557404,91.14100605136349
6297.0,157400.0,21.440636782710186,91.14095686294712
6298.0,157425.0,21.440415739826058,91.14090767467894
6299.0,157450.0,21.440194696921644,91.1408584865589
6300.0,157475.0,21.439973653996947,91.14080929858704
6301.0,157500.0,21.43975261105196,91.14076011076338
6302.0,157525.0,21.439531568086696,91.14071092308785
6303.0,157550.0,21.439310525101153,91.14066173556057
6304.0,157575.0,21.439089482095323,91.14061254818137
6305.0,157600.0,21.438868439069214,91.14056336095041
6306.0,157625.0,21.438647396022823,91.14051417386759
6307.0,157650.0,21.438426352956146,91.1404649869329
6308.0,157675.0,21.438205309869193,91.1404158001464
6309.0,157700.0,21.43798426676196,91.14036661350804
6310.0,157725.0,21.437763223634438,91.14031742701786
6311.0,157750.0,21.43754218048664,91.14026824067582
6312.0,157775.0,21.437321137318566,91.14021905448192
6313.0,157800.0,21.4371000941302,91.14016986843615
6314.0,157825.0,21.43687905092157,91.14012068253862
6315.0,157850.0,21.43665800769265,91.14007149678912
6316.0,157875.0,21.436436964443455,91.14002231118786
6317.0,157900.0,21.43621592117398,91.13997312573468
6318.0,157925.0,21.43599487788422,91.13992394042964
6319.0,157950.0,21.435773834574185,91.13987475527279
6320.0,157975.0,21.435552791243875,91.13982557026407
6321.0,158000.0,21.435331747893287,91.13977638540342
6322.0,158025.0,21.43511070452242,91.13972720069091
6323.0,158050.0,21.434889661131276,91.1396780161266
6324.0,158075.0,21.434668617719854,91.13962883171035
6325.0,158100.0,21.434447574288154,91.13957964744225
6326.0,158125.0,21.434226530836177,91.13953046332227
6327.0,158150.0,21.434005487363923,91.13948127935043
6328.0,158175.0,21.433784443871403,91.13943209552667
6329.0,158200.0,21.433563400358594,91.13938291185104
6330.0,158225.0,21.43334235682551,91.13933372832355
6331.0,158250.0,21.433121313272153,91.13928454494413
6332.0,158275.0,21.43290026969852,91.13923536171285
6333.0,158300.0,21.432679226104618,91.13918617862964
6334.0,158325.0,21.432458182490436,91.13913699569457
6335.0,158350.0,21.432237138855985,91.13908781290763
6336.0,158375.0,21.432016095201252,91.13903863026871
6337.0,158400.0,21.431795051526247,91.13898944777793
6338.0,158425.0,21.43157400783097,91.13894026543528
6339.0,158450.0,21.43135296411542,91.13889108324071
6340.0,158475.0,21.4311319203796,91.13884190119421
6341.0,158500.0,21.4309108766235,91.1387927192958
6342.0,158525.0,21.430689832847133,91.13874353754551
6343.0,158550.0,21.430468789050487,91.13869435594324
6344.0,158575.0,21.430247745233576,91.13864517448911
6345.0,158600.0,21.430026701396386,91.13859599318306
6346.0,158625.0,21.42980565753893,91.13854681202508
6347.0,158650.0,21.429584613661202,91.13849763101518
6348.0,158675.0,21.4293635697632,91.13844845015336
6349.0,158700.0,21.42914252584493,91.13839926943962
6350.0,158725.0,21.42892148190639,91.13835008887395
6351.0,158750.0,21.428700437947573,91.13830090845636
6352.0,158775.0,21.428479393968495,91.13825172818679
6353.0,158800.0,21.42825834996914,91.1382025480653
6354.0,158825.0,21.428037305949523,91.13815336809188
6355.0,158850.0,21.42781626190963,91.13810418826654
6356.0,158875.0,21.42759521784947,91.13805500858922
6357.0,158900.0,21.42737417376904,91.13800582905998
6358.0,158925.0,21.42715312966834,91.13795664967881
6359.0,158950.0,21.426932085547374,91.13790747044567
6360.0,158975.0,21.426711041406136,91.1378582913606
6361.0,159000.0,21.426489997244637,91.13780911242355
6362.0,159025.0,21.426268953062863,91.13775993363458
6363.0,159050.0,21.426047908860834,91.13771075499363
6364.0,159075.0,21.425826864638527,91.13766157650076
6365.0,159100.0,21.42560582039596,91.13761239815585
6366.0,159125.0,21.425384776133118,91.13756321995908
6367.0,159150.0,21.425163731850013,91.13751404191026
6368.0,159175.0,21.424942687546647,91.13746486400953
6369.0,159200.0,21.42472164322301,91.13741568625682
6370.0,159225.0,21.424500598879106,91.13736650865212
6371.0,159250.0,21.424279554514936,91.13731733119545
6372.0,159275.0,21.42405851013051,91.1372681538868
6373.0,159300.0,21.423837465725807,91.13721897672616
6374.0,159325.0,21.423616421300853,91.13716979971355
6375.0,159350.0,21.423395376855627,91.13712062284901
6376.0,159375.0,21.423174332390133,91.13707144613244
6377.0,159400.0,21.42295328790438,91.13702226956389
6378.0,159425.0,21.422732243398368,91.13697309314335
6379.0,159450.0,21.422511198872083,91.13692391687084
6380.0,159475.0,21.422290154325538,91.1368747407463
6381.0,159500.0,21.422069109758738,91.13682556476982
6382.0,159525.0,21.421848065171666,91.13677638894131
6383.0,159550.0,21.421627020564337,91.13672721326077
6384.0,159575.0,21.42140597593674,91.1366780377283
6385.0,159600.0,21.421184931288888,91.1366288623438
6386.0,159625.0,21.420963886620775,91.13657968710726
6387.0,159650.0,21.420742841932398,91.13653051201874
6388.0,159675.0,21.42052179722376,91.13648133707824
6389.0,159700.0,21.42030075249486,91.1364321622857
6390.0,159725.0,21.4200797077457,91.13638298764113
6391.0,159750.0,21.41985866297628,91.13633381314457
6392.0,159775.0,21.4196376181866,91.13628463879598
6393.0,159800.0,21.419416573376658,91.13623546459542
6394.0,159825.0,21.419195528546457,91.13618629054275
6395.0,159850.0,21.418974483696008,91.13613711663811
6396.0,159875.0,21.418753438825288,91.13608794288143
6397.0,159900.0,21.418532393934314,91.13603876927272
6398.0,159925.0,21.41831134902308,91.13598959581202
6399.0,159950.0,21.418090304091585,91.13594042249923
6400.0,159975.0,21.417869259139838,91.13589124933446
6401.0,160000.0,21.417648214167826,91.1358420763176
6402.0,160025.0,21.41742716917556,91.13579290344876
6403.0,160050.0,21.41720612416304,91.13574373072782
6404.0,160075.0,21.416985079130267,91.13569455815485
6405.0,160100.0,21.41676403407722,91.13564538572984
6406.0,160125.0,21.416542989003933,91.1355962134528
6407.0,160150.0,21.41632194391038,91.13554704132372
6408.0,160175.0,21.41610089879658,91.13549786934254
6409.0,160200.0,21.415879853662513,91.13544869750939
6410.0,160225.0,21.415658808508198,91.13539952582414
6411.0,160250.0,21.41543776333363,91.1353503542868
6412.0,160275.0,21.4152167181388,91.13530118289742
6413.0,160300.0,21.414995672923727,91.13525201165601
6414.0,160325.0,21.414774627688384,91.1352028405625
6415.0,160350.0,21.414553582432795,91.13515366961695
6416.0,160375.0,21.414332537156955,91.13510449881932
6417.0,160400.0,21.414111491860865,91.13505532816964
6418.0,160425.0,21.413890446544514,91.13500615766782
6419.0,160450.0,21.413669401207912,91.13495698731401
6420.0,160475.0,21.413448355851052,91.13490781710806
6421.0,160500.0,21.41322731047394,91.13485864705007
6422.0,160525.0,21.413006265076582,91.13480947713998
6423.0,160550.0,21.412785219658975,91.1347603073778
6424.0,160575.0,21.412564174221103,91.13471113776359
6425.0,160600.0,21.412343128762988,91.13466196829722
6426.0,160625.0,21.412122083284622,91.13461279897882
6427.0,160650.0,21.411901037786002,91.13456362980827
6428.0,160675.0,21.411679992267132,91.13451446078568
6429.0,160700.0,21.41145894672801,91.13446529191094
6430.0,160725.0,21.41123790116864,91.13441612318417
6431.0,160750.0,21.411016855589025,91.13436695460524
6432.0,160775.0,21.41079580998915,91.13431778617428
6433.0,160800.0,21.410574764369038,91.13426861789117
6434.0,160825.0,21.410353718728665,91.1342194497559
6435.0,160850.0,21.410132673068052,91.1341702817686
6436.0,160875.0,21.409911627387178,91.13412111392915
6437.0,160900.0,21.409690581686068,91.13407194623761
6438.0,160925.0,21.409469535964696,91.13402277869397
6439.0,160950.0,21.40924849022309,91.13397361129819
6440.0,160975.0,21.409027444461227,91.13392444405031
6441.0,161000.0,21.408806398679122,91.13387527695028
6442.0,161025.0,21.40858535287677,91.13382610999815
6443.0,161050.0,21.408364307054168,91.13377694319388
6444.0,161075.0,21.408143261211325,91.13372777653746
6445.0,161100.0,21.407922215348226,91.13367861002894
6446.0,161125.0,21.407701169464882,91.13362944366827
6447.0,161150.0,21.407480123561292,91.13358027745551
6448.0,161175.0,21.40725907763746,91.1335311113906
6449.0,161200.0,21.407038031693382,91.13348194547353
6450.0,161225.0,21.406816985729066,91.13343277970432
6451.0,161250.0,21.4065959397445,91.13338361408302
6452.0,161275.0,21.406374893739684,91.1333344486095
6453.0,161300.0,21.406153847714624,91.1332852832839
6454.0,161325.0,21.405932801669323,91.13323611810608
6455.0,161350.0,21.40571175560378,91.13318695307618
6456.0,161375.0,21.405490709517984,91.13313778819406
6457.0,161400.0,21.405269663411953,91.13308862345986
6458.0,161425.0,21.40504861728568,91.13303945887344
6459.0,161450.0,21.404827571139165,91.13299029443488
6460.0,161475.0,21.404606524972397,91.13294113014422
6461.0,161500.0,21.404385478785397,91.13289196600135
6462.0,161525.0,21.404164432578153,91.13284280200628
6463.0,161550.0,21.403943386350658,91.13279363815906
